Strike,IV
4050,0.555
4075,0.545
4100,0.5402
4125,0.5303
4150,0.5248
4175,0.515
4200,0.5094
4225,0.4993
4230,0.4974
4240,0.4931
4250,0.4934
4260,0.4891
4270,0.4855
4275,0.4836
4280,0.4812
4290,0.4792
4300,0.4772
4310,0.4733
4320,0.469
4325,0.467
4330,0.4669
4340,0.4648
4350,0.4608
4360,0.4565
4370,0.4543
4375,0.454
4380,0.4521
4390,0.4481
4400,0.4438
4410,0.4431
4420,0.4388
4425,0.437
4430,0.4352
4440,0.4322
4450,0.43
4460,0.4261
4470,0.4233
4475,0.421
4480,0.4207
4490,0.4166
4500,0.414
4510,0.4109
4520,0.4082
4525,0.4065
4530,0.4045
4540,0.4004
4550,0.3986
4560,0.3949
4570,0.3918
4575,0.3908
4580,0.3889
4590,0.385
4600,0.3829
4610,0.379
4620,0.3748
4625,0.374
4630,0.373
4640,0.369
4650,0.3659
4660,0.3629
4670,0.3589
4675,0.3578
4680,0.3567
4690,0.3527
4700,0.3502
4705,0.3484
4710,0.3464
4715,0.3444
4720,0.3432
4725,0.342
4730,0.34
4735,0.338
4740,0.3368
4745,0.3352
4750,0.3332
4755,0.3322
4760,0.3302
4765,0.3287
4770,0.3267
4775,0.3254
4780,0.3241
4785,0.3221
4790,0.321
4795,0.3194
4800,0.3174
4805,0.3154
4810,0.3141
4815,0.3127
4820,0.3108
4825,0.3094
4830,0.308
4835,0.306
4840,0.3046
4845,0.3031
4850,0.3018
4855,0.3003
4860,0.2982
4865,0.2968
4870,0.2953
4875,0.294
4880,0.2924
4885,0.2903
4890,0.2888
4895,0.2873
4900,0.2858
4905,0.2843
4910,0.2828
4915,0.2812
4920,0.2796
4925,0.2781
4930,0.2765
4935,0.2751
4940,0.274
4945,0.2719
4950,0.2708
4955,0.2687
4960,0.2675
4965,0.2659
4970,0.2642
4975,0.263
4980,0.2614
4985,0.2597
4990,0.258
4995,0.2567
5000,0.2554
5005,0.2537
5010,0.252
5015,0.2506
5020,0.2493
5025,0.2479
5030,0.2468
5035,0.2451
5040,0.244
5045,0.2422
5050,0.2411
5055,0.2393
5060,0.2378
5065,0.2369
5070,0.2347
5075,0.2338
5080,0.2322
5085,0.2307
5090,0.2296
5095,0.2286
5100,0.227
5105,0.2253
5110,0.2242
5115,0.223
5120,0.2218
5125,0.2206
5130,0.2194
5135,0.2181
5140,0.2168
5145,0.2155
5150,0.2141
5155,0.2127
5160,0.2118
5165,0.2107
5170,0.2097
5175,0.2082
5180,0.207
5185,0.2063
5190,0.2051
5195,0.2038
5200,0.2029
5205,0.2016
5210,0.2006
5215,0.1995
5220,0.1984
5225,0.1973
5230,0.1964
5235,0.1955
5240,0.1942
5245,0.1935
5250,0.1927
5255,0.1916
5260,0.1904
5265,0.1897
5270,0.1887
5275,0.1878
5280,0.187
5285,0.186
5290,0.185
5295,0.1842
5300,0.1833
5305,0.1823
5310,0.1817
5315,0.1806
5320,0.1799
5325,0.1791
5330,0.1784
5335,0.1774
5340,0.1768
5345,0.1759
5350,0.1751
5355,0.1744
5360,0.1736
5365,0.1729
5370,0.172
5375,0.1713
5380,0.1705
5385,0.1698
5390,0.169
5395,0.1681
5400,0.1675
5405,0.1667
5410,0.1659
5415,0.1652
5420,0.1645
5425,0.1638
5430,0.1628
5435,0.1621
5440,0.1615
5445,0.1606
5450,0.1599
5455,0.159
5460,0.1582
5465,0.1577
5470,0.157
5475,0.1561
5480,0.1552
5485,0.1544
5490,0.1538
5495,0.1529
5500,0.1522
5505,0.1514
5510,0.1507
5515,0.1499
5520,0.1492
5525,0.1484
5530,0.1476
5535,0.1468
5540,0.146
5545,0.1451
5550,0.1443
5555,0.1435
5560,0.1428
5565,0.1421
5570,0.1412
5575,0.1404
5580,0.1396
5585,0.139
5590,0.1382
5595,0.1374
5600,0.1367
5605,0.1359
5610,0.1352
5615,0.1345
5620,0.1337
5625,0.1332
5630,0.1323
5635,0.1316
5640,0.131
5645,0.1302
5650,0.1297
5655,0.129
5660,0.1285
5665,0.1278
5670,0.1273
5675,0.1265
5680,0.126
5685,0.1255
5690,0.125
5695,0.1243
5700,0.124
5705,0.1235
5710,0.123
5715,0.1226
5720,0.1224
5725,0.122
5730,0.1217
5735,0.1213
5740,0.1211
5745,0.1208
5750,0.1207
5755,0.1203
5760,0.1198
5765,0.1197
5770,0.1195
5775,0.1194
5780,0.119
5785,0.1192
5790,0.119
5795,0.1188
5800,0.1188
5805,0.1189
5810,0.1192
5815,0.119
5820,0.1194
5825,0.1196
5830,0.1198
5835,0.1198
5840,0.1196
5845,0.1204
5850,0.121
5855,0.1216
5860,0.1215
5865,0.1218
5870,0.1234
5875,0.1237
5880,0.1231
5890,0.1238
5900,0.1259
5910,0.127
5920,0.1278
5925,0.1293
5930,0.1296
5940,0.1311
5950,0.1326
5960,0.1354
5970,0.1349
5975,0.138
5980,0.1378
5990,0.1405
6000,0.1413
6010,0.1417
6020,0.1466
6025,0.1478
6030,0.1471
6040,0.152
6050,0.1546
6060,0.152
6070,0.1514
6075,0.1527
6080,0.1571
6090,0.1598
6100,0.1621
6110,0.1648
6120,0.1671
6125,0.1684
6130,0.1698
6140,0.1723
6150,0.171
6160,0.1734
6175,0.1771
6200,0.1831
6250,0.1954
6300,0.2018
6350,0.2132
6400,0.2245
