Strike,IV
3400,0.4109
3425,0.4068
3450,0.404
3475,0.3999
3500,0.3964
3525,0.3928
3550,0.3898
3575,0.3855
3600,0.3824
3625,0.3791
3650,0.3753
3675,0.3715
3700,0.3681
3725,0.3646
3750,0.3612
3775,0.3576
3800,0.354
3825,0.3504
3850,0.3471
3875,0.3437
3900,0.34
3925,0.3365
3950,0.333
3975,0.3298
4000,0.3262
4025,0.3225
4050,0.3191
4075,0.3157
4100,0.3124
4125,0.3089
4150,0.3055
4175,0.3021
4200,0.2989
4225,0.2956
4250,0.2922
4275,0.289
4300,0.2855
4325,0.2824
4350,0.2792
4375,0.2759
4400,0.2727
4425,0.2694
4450,0.2662
4475,0.2633
4500,0.2601
4510,0.2588
4520,0.2576
4525,0.257
4530,0.2564
4540,0.255
4550,0.2538
4560,0.2527
4570,0.2514
4575,0.2508
4580,0.2503
4590,0.249
4600,0.2477
4610,0.2466
4620,0.2454
4625,0.2447
4630,0.2442
4640,0.2429
4650,0.2418
4660,0.2406
4670,0.2394
4675,0.2388
4680,0.2382
4690,0.237
4700,0.2358
4710,0.2347
4720,0.2335
4725,0.2329
4730,0.2323
4740,0.2311
4750,0.23
4760,0.2289
4770,0.2278
4775,0.2271
4780,0.2266
4790,0.2255
4800,0.2243
4810,0.2233
4820,0.222
4825,0.2215
4830,0.2209
4840,0.2198
4850,0.2187
4860,0.2176
4870,0.2165
4875,0.2159
4880,0.2155
4890,0.2143
4900,0.2132
4910,0.2121
4920,0.2111
4925,0.2105
4930,0.21
4940,0.2088
4950,0.2078
4960,0.2068
4970,0.2057
4975,0.2052
4980,0.2046
4990,0.2035
5000,0.2026
5010,0.2014
5020,0.2003
5025,0.1999
5030,0.1994
5040,0.1984
5050,0.1973
5060,0.1962
5070,0.195
5075,0.1947
5080,0.194
5090,0.1932
5100,0.1921
5110,0.191
5120,0.1899
5125,0.1896
5130,0.1891
5140,0.1879
5150,0.1871
5160,0.1861
5170,0.1849
5175,0.1845
5180,0.184
5190,0.1829
5200,0.182
5210,0.181
5220,0.1801
5225,0.1796
5230,0.179
5235,0.1784
5240,0.1781
5245,0.1774
5250,0.1771
5255,0.1764
5260,0.1761
5265,0.1754
5270,0.1751
5275,0.1746
5280,0.174
5285,0.1734
5290,0.173
5295,0.1725
5300,0.1722
5305,0.1717
5310,0.1712
5315,0.1705
5320,0.1702
5325,0.1697
5330,0.1693
5335,0.1686
5340,0.1681
5345,0.1676
5350,0.1673
5355,0.1667
5360,0.1662
5365,0.1657
5370,0.1654
5375,0.1649
5380,0.1644
5385,0.1638
5390,0.1633
5395,0.1628
5400,0.1625
5405,0.1618
5410,0.1615
5415,0.1609
5420,0.1605
5425,0.1601
5430,0.1596
5435,0.159
5440,0.1587
5445,0.1581
5450,0.1577
5455,0.1571
5460,0.1568
5465,0.1563
5470,0.1558
5475,0.1554
5480,0.1548
5485,0.1543
5490,0.154
5495,0.1534
5500,0.1531
5505,0.1524
5510,0.1521
5515,0.1515
5520,0.1511
5525,0.1507
5530,0.1503
5535,0.1497
5540,0.1493
5545,0.1489
5550,0.1485
5555,0.1476
5560,0.1472
5565,0.1467
5570,0.1462
5575,0.1459
5580,0.1454
5585,0.145
5590,0.1446
5595,0.1441
5600,0.1437
5605,0.1433
5610,0.1428
5620,0.1421
5625,0.1417
5630,0.1412
5640,0.1404
5650,0.1397
5660,0.1389
5670,0.1381
5675,0.1377
5680,0.1376
5690,0.1369
5700,0.1361
5710,0.1354
5720,0.1348
5725,0.1344
5730,0.134
5740,0.1334
5750,0.1328
5760,0.1321
5770,0.1315
5775,0.1312
5780,0.1308
5790,0.1303
5800,0.1297
5810,0.1291
5820,0.1286
5825,0.1281
5830,0.1281
5840,0.1273
5850,0.127
5860,0.1262
5870,0.126
5875,0.1258
5880,0.1254
5890,0.125
5900,0.1247
5910,0.1242
5920,0.1237
5925,0.1237
5930,0.1234
5940,0.123
5950,0.1227
5975,0.1219
6000,0.1212
6025,0.1204
6050,0.1199
6075,0.1195
6100,0.1191
6150,0.1185
6200,0.1182
6300,0.1188
6400,0.1209
6500,0.1242
6600,0.1286
6700,0.1337
6800,0.139
6900,0.1445
7000,0.1504
7200,0.1633
7400,0.1755
7600,0.189
7800,0.1998
