Strike,IV
3875,0.3252
3900,0.3211
3925,0.3173
3950,0.3131
3975,0.3127
4000,0.3111
4025,0.3095
4050,0.3079
4075,0.3063
4100,0.3055
4125,0.3047
4150,0.3031
4175,0.3018
4200,0.3002
4225,0.2985
4230,0.2977
4240,0.2972
4250,0.2955
4260,0.2941
4270,0.2924
4275,0.291
4280,0.2902
4290,0.2893
4300,0.2879
4310,0.2865
4320,0.285
4325,0.2835
4330,0.2826
4340,0.2818
4350,0.2805
4360,0.279
4370,0.2775
4375,0.2759
4380,0.2753
4390,0.2744
4400,0.273
4410,0.2715
4420,0.2701
4425,0.2685
4430,0.2678
4440,0.2671
4450,0.2657
4460,0.264
4470,0.2626
4475,0.2611
4480,0.2606
4490,0.2599
4500,0.2584
4510,0.2568
4520,0.2555
4525,0.254
4530,0.2534
4540,0.2526
4550,0.2512
4560,0.2498
4570,0.2484
4575,0.2469
4580,0.2463
4590,0.2454
4600,0.2441
4610,0.2426
4620,0.2413
4625,0.2399
4630,0.2392
4640,0.2385
4650,0.2372
4660,0.2358
4670,0.2345
4675,0.233
4680,0.2324
4690,0.2318
4700,0.2303
4710,0.229
4720,0.2277
4725,0.2264
4730,0.2258
4740,0.2251
4750,0.2237
4760,0.2222
4770,0.2212
4775,0.2197
4780,0.2191
4790,0.2185
4800,0.2172
4810,0.2158
4820,0.2146
4825,0.2133
4830,0.2127
4840,0.212
4850,0.2108
4860,0.2095
4870,0.2083
4875,0.207
4880,0.2065
4890,0.2058
4900,0.2044
4910,0.2031
4920,0.2021
4925,0.2008
4930,0.2003
4940,0.1996
4950,0.1984
4960,0.1972
4970,0.196
4975,0.1948
4980,0.194
4990,0.1935
5000,0.1924
5010,0.1911
5020,0.1901
5025,0.1892
5030,0.1888
5040,0.1882
5050,0.1876
5060,0.1868
5070,0.1865
5075,0.1857
5080,0.1853
5090,0.1846
5100,0.1841
5110,0.1834
5115,0.1829
5120,0.1824
5125,0.1817
5130,0.181
5135,0.1806
5140,0.1798
5145,0.1795
5150,0.1789
5155,0.1783
5160,0.1778
5165,0.1772
5170,0.1766
5175,0.176
5180,0.1755
5185,0.1749
5190,0.1743
5195,0.1735
5200,0.1732
5205,0.1726
5210,0.1721
5215,0.1716
5220,0.1709
5225,0.1703
5230,0.1698
5235,0.1693
5240,0.1687
5245,0.1681
5250,0.1676
5255,0.167
5260,0.1665
5265,0.1659
5270,0.1654
5275,0.1648
5280,0.1642
5285,0.1637
5290,0.1632
5295,0.1626
5300,0.1621
5305,0.1615
5310,0.1609
5315,0.1604
5320,0.1598
5325,0.1591
5330,0.1586
5335,0.158
5340,0.1575
5345,0.1568
5350,0.1564
5355,0.1559
5360,0.1553
5365,0.1548
5370,0.1542
5375,0.1537
5380,0.1532
5385,0.1526
5390,0.1521
5395,0.1515
5400,0.151
5405,0.1504
5410,0.1499
5415,0.1494
5420,0.1489
5425,0.1483
5430,0.1478
5435,0.1472
5440,0.1468
5445,0.1462
5450,0.1457
5455,0.1452
5460,0.1446
5465,0.1441
5470,0.1488
5475,0.1483
5480,0.1483
5485,0.1476
5490,0.1468
5495,0.1462
5500,0.146
5505,0.1451
5510,0.1446
5515,0.1441
5520,0.1436
5525,0.1432
5530,0.1427
5535,0.1422
5540,0.1417
5545,0.1413
5550,0.1407
5555,0.1402
5560,0.1397
5565,0.1392
5570,0.1387
5575,0.1382
5580,0.1378
5585,0.1373
5590,0.1369
5595,0.1365
5600,0.1359
5605,0.1355
5610,0.1351
5615,0.1345
5620,0.134
5625,0.1337
5630,0.1331
5635,0.1327
5640,0.1324
5645,0.1319
5650,0.1315
5655,0.1311
5660,0.1306
5665,0.1302
5670,0.1298
5675,0.1294
5680,0.129
5685,0.1285
5690,0.1282
5695,0.1278
5700,0.1274
5705,0.127
5710,0.1266
5715,0.1262
5720,0.1258
5725,0.1255
5730,0.1252
5735,0.1248
5740,0.1245
5745,0.1241
5750,0.1238
5755,0.1235
5760,0.1231
5765,0.1228
5770,0.1224
5775,0.122
5780,0.1217
5790,0.1213
5800,0.1206
5810,0.1202
5820,0.1196
5825,0.1194
5830,0.1192
5840,0.1187
5850,0.1182
5860,0.1178
5870,0.1174
5875,0.1172
5880,0.117
5890,0.1167
5900,0.1164
5910,0.1158
5920,0.1157
5925,0.1156
5930,0.1154
5940,0.1151
5950,0.1149
5960,0.1146
5970,0.1145
5975,0.1144
5980,0.1144
5990,0.1142
6000,0.114
6010,0.1139
6020,0.1138
6025,0.1137
6030,0.1137
6040,0.1133
6050,0.1135
6075,0.1134
6100,0.1134
6150,0.1142
6200,0.1152
6300,0.1189
6400,0.1241
6500,0.1308
6600,0.1373
6700,0.1448
