Strike,IV
3850,0.4117
3875,0.4073
3900,0.4026
3925,0.3985
3950,0.3938
3975,0.3895
4000,0.3851
4025,0.3807
4050,0.3762
4075,0.3715
4100,0.3677
4125,0.3634
4150,0.3589
4175,0.354
4200,0.3498
4225,0.3455
4230,0.3442
4240,0.3423
4250,0.341
4260,0.339
4270,0.337
4275,0.3357
4280,0.3351
4290,0.3331
4300,0.3318
4310,0.3298
4320,0.3278
4325,0.3271
4330,0.3265
4340,0.3244
4350,0.3224
4360,0.3209
4370,0.3189
4375,0.3181
4380,0.3168
4390,0.3153
4400,0.3138
4410,0.3116
4420,0.3095
4425,0.3093
4430,0.3079
4440,0.3063
4450,0.3047
4460,0.3025
4470,0.3008
4475,0.3
4480,0.2992
4490,0.297
4500,0.2952
4510,0.2935
4520,0.2917
4525,0.2908
4530,0.29
4540,0.2881
4550,0.2863
4560,0.2845
4570,0.2826
4575,0.2817
4580,0.2808
4590,0.2789
4600,0.2774
4610,0.2754
4620,0.2739
4625,0.2729
4630,0.2719
4640,0.2699
4650,0.2687
4660,0.2666
4670,0.2646
4675,0.2639
4680,0.2632
4690,0.2612
4700,0.2597
4710,0.2576
4720,0.2562
4725,0.2554
4730,0.2544
4740,0.2525
4750,0.2509
4760,0.2493
4770,0.2476
4775,0.2463
4780,0.2454
4790,0.2438
4800,0.2423
4810,0.2408
4820,0.239
4825,0.2381
4830,0.2372
4840,0.2353
4850,0.2339
4860,0.232
4870,0.2306
4875,0.2296
4880,0.2291
4890,0.2273
4900,0.2257
4910,0.2241
4920,0.2224
4925,0.2216
4930,0.2209
4940,0.2192
4950,0.2176
4960,0.2162
4970,0.2147
4975,0.2139
4980,0.2131
4985,0.2123
4990,0.2115
4995,0.2107
5000,0.2099
5005,0.2091
5010,0.2086
5015,0.2077
5020,0.2068
5025,0.2063
5030,0.2054
5035,0.2048
5040,0.2039
5045,0.2033
5050,0.2025
5055,0.2017
5060,0.2011
5065,0.2004
5070,0.1997
5075,0.1988
5080,0.1981
5085,0.1974
5090,0.1966
5095,0.196
5100,0.1952
5105,0.1946
5110,0.1936
5115,0.1931
5120,0.1922
5125,0.1915
5130,0.1908
5135,0.1902
5140,0.1895
5145,0.1887
5150,0.188
5155,0.1873
5160,0.1867
5165,0.186
5170,0.1852
5175,0.1847
5180,0.184
5185,0.1832
5190,0.1826
5195,0.182
5200,0.1812
5205,0.1806
5210,0.18
5215,0.1793
5220,0.1787
5225,0.178
5230,0.1774
5235,0.1768
5240,0.176
5245,0.1754
5250,0.1747
5255,0.1742
5260,0.1736
5265,0.1728
5270,0.1722
5275,0.1716
5280,0.171
5285,0.1703
5290,0.1697
5295,0.169
5300,0.1684
5305,0.1679
5310,0.1672
5315,0.1666
5320,0.166
5325,0.1654
5330,0.1648
5335,0.164
5340,0.1635
5345,0.1629
5350,0.1623
5355,0.1617
5360,0.161
5365,0.1603
5370,0.1597
5375,0.1592
5380,0.1585
5385,0.1579
5390,0.1572
5395,0.1567
5400,0.1561
5405,0.1554
5410,0.1548
5415,0.1542
5420,0.1536
5425,0.153
5430,0.1524
5435,0.1518
5440,0.1512
5445,0.1506
5450,0.15
5455,0.1494
5460,0.1488
5465,0.1482
5470,0.1476
5475,0.1469
5480,0.1464
5485,0.1458
5490,0.1452
5495,0.1446
5500,0.144
5505,0.1434
5510,0.1429
5515,0.1422
5520,0.1417
5525,0.1411
5530,0.1405
5535,0.1398
5540,0.1395
5545,0.1389
5550,0.1384
5555,0.1378
5560,0.1372
5565,0.1366
5570,0.136
5575,0.1355
5580,0.1349
5585,0.1344
5590,0.1339
5595,0.1334
5600,0.1329
5605,0.1322
5610,0.1318
5615,0.1312
5620,0.1308
5625,0.1303
5630,0.1297
5635,0.1293
5640,0.1288
5645,0.1282
5650,0.1278
5655,0.1273
5660,0.1269
5665,0.1264
5670,0.126
5675,0.1255
5680,0.1251
5685,0.1246
5690,0.1242
5695,0.1238
5700,0.1234
5705,0.123
5710,0.1226
5715,0.1223
5720,0.1219
5725,0.1215
5730,0.1212
5735,0.1208
5740,0.1204
5745,0.1201
5750,0.1198
5755,0.1195
5760,0.1192
5765,0.1189
5770,0.1185
5775,0.1182
5780,0.118
5785,0.1177
5790,0.1174
5795,0.1172
5800,0.1169
5805,0.1166
5810,0.1164
5815,0.1162
5820,0.116
5825,0.1158
5830,0.1155
5840,0.1151
5850,0.1148
5860,0.1144
5870,0.1143
5875,0.1141
5880,0.114
5890,0.1137
5900,0.1134
5910,0.1133
5920,0.1131
5925,0.1131
5930,0.113
5940,0.1127
5950,0.1128
5960,0.1127
5970,0.1127
5975,0.1128
5980,0.1129
5990,0.113
6000,0.1129
6010,0.1132
6020,0.1134
6025,0.1137
6030,0.1135
6040,0.1139
6050,0.1141
6060,0.1146
6070,0.1147
6075,0.1149
6080,0.1152
6090,0.1155
6100,0.116
6125,0.1172
6150,0.1184
6200,0.1216
6250,0.125
6300,0.1298
6350,0.1337
6400,0.1388
6450,0.1433
6500,0.1487
